Date	Time	Temperature
2017-02-19	15:29:16	19.062
2017-02-19	15:29:18	19.062
2017-02-19	15:29:20	19.125
2017-02-19	15:29:22	19.125
2017-02-19	15:29:24	19.125
2017-02-19	15:29:26	19.125
2017-02-19	15:29:28	19.125
2017-02-19	15:29:31	19.125
2017-02-19	15:29:33	19.125
2017-02-19	15:29:35	19.125
2017-02-19	15:29:37	19.125
2017-02-19	15:29:39	19.125
2017-02-19	15:29:41	19.125
2017-02-19	15:29:43	19.125
2017-02-19	15:29:45	19.187
2017-02-19	15:29:47	19.187
2017-02-19	15:29:50	19.187
2017-02-19	15:29:52	19.187
2017-02-19	15:29:54	19.187
2017-02-19	15:29:56	19.187
2017-02-19	15:29:58	19.187
2017-02-19	15:30:00	19.187
2017-02-19	15:30:02	19.25
2017-02-19	15:30:05	19.187
2017-02-19	15:30:07	19.25
2017-02-19	15:30:09	19.25
2017-02-19	15:30:11	19.25
2017-02-19	15:30:13	19.25
2017-02-19	15:30:15	19.25
2017-02-19	15:30:17	19.25
2017-02-19	15:30:19	19.25
2017-02-19	15:30:22	19.25
2017-02-19	15:30:24	19.312
2017-02-19	15:30:26	19.25
2017-02-19	15:30:28	19.312
2017-02-19	15:30:30	19.312
2017-02-19	15:30:32	19.25
2017-02-19	15:30:34	19.312
2017-02-19	15:30:36	19.312
2017-02-19	15:30:39	19.312
2017-02-19	15:30:41	19.312
2017-02-19	15:30:43	19.312
2017-02-19	15:30:45	19.312
2017-02-19	15:30:47	19.312
2017-02-19	15:30:49	19.312
2017-02-19	15:30:51	19.312
2017-02-19	15:30:54	19.312
2017-02-19	15:30:56	19.312
2017-02-19	15:30:58	19.312
2017-02-19	15:31:00	19.312
2017-02-19	15:31:02	19.312
2017-02-19	15:31:04	19.312
2017-02-19	15:31:06	19.375
2017-02-19	15:31:08	19.375
2017-02-19	15:31:10	19.375
2017-02-19	15:31:13	19.375
2017-02-19	15:31:15	19.375
2017-02-19	15:31:17	19.375
2017-02-19	15:31:19	19.375
2017-02-19	15:31:21	19.375
2017-02-19	15:31:23	19.375
2017-02-19	15:31:25	19.375
2017-02-19	15:31:27	19.437
2017-02-19	15:31:30	19.437
2017-02-19	15:31:32	19.437
2017-02-19	15:31:34	19.375
2017-02-19	15:31:36	19.375
2017-02-19	15:31:38	19.375
2017-02-19	15:31:40	19.437
2017-02-19	15:31:42	19.375
2017-02-19	15:31:44	19.437
2017-02-19	15:31:47	19.437
2017-02-19	15:31:49	19.437
2017-02-19	15:31:51	19.437
2017-02-19	15:31:53	19.437
2017-02-19	15:31:56	19.437
2017-02-19	15:31:58	19.437
2017-02-19	15:32:00	19.437
2017-02-19	15:32:02	19.437
2017-02-19	15:32:05	19.437
2017-02-19	15:32:07	19.437
2017-02-19	15:32:09	19.437
2017-02-19	15:32:12	19.437
2017-02-19	15:32:15	19.437
2017-02-19	15:32:17	19.437
2017-02-19	15:32:19	19.437
2017-02-19	15:32:21	19.5
2017-02-19	15:32:23	19.5
2017-02-19	15:32:25	19.5
2017-02-19	15:32:28	19.5
2017-02-19	15:32:30	19.5
2017-02-19	15:32:32	19.5
2017-02-19	15:32:34	19.5
2017-02-19	15:32:36	19.5
2017-02-19	15:32:38	19.5
2017-02-19	15:32:40	19.5
2017-02-19	15:32:42	19.5
2017-02-19	15:32:45	19.5
2017-02-19	15:32:47	19.5
2017-02-19	15:32:49	19.5
2017-02-19	15:32:51	19.5
2017-02-19	15:32:53	19.5
2017-02-19	15:32:55	19.5
